Year,Region,Sector,Month,Consumption_MWh
2024,Mindanao,Own-Use,Nov,130914
2024,Mindanao,Own-Use,Dec,139347
2024,Mindanao,System Loss,Jan,196878
2024,Mindanao,System Loss,Feb,184379
2024,Mindanao,System Loss,Mar,172280
2024,Mindanao,System Loss,Apr,214834
2024,Mindanao,System Loss,May,219486
2024,Mindanao,System Loss,Jun,208842
2024,Mindanao,System Loss,Jul,205759
2024,Mindanao,System Loss,Aug,195553
2024,Mindanao,System Loss,Sep,207758
2024,Mindanao,System Loss,Oct,200368
2024,Mindanao,System Loss,Nov,269617
2024,Mindanao,System Loss,Dec,216358
2024,Mindanao,Total Consumption,Jan,1405224
2024,Mindanao,Total Consumption,Feb,1378334
2024,Mindanao,Total Consumption,Mar,1384138
2024,Mindanao,Total Consumption,Apr,1554962
2024,Mindanao,Total Consumption,May,1578975
2024,Mindanao,Total Consumption,Jun,1563575
2024,Mindanao,Total Consumption,Jul,1455481
2024,Mindanao,Total Consumption,Aug,1488252
2024,Mindanao,Total Consumption,Sep,1526338
2024,Mindanao,Total Consumption,Oct,1507558
2024,Mindanao,Total Consumption,Nov,1601806
2024,Mindanao,Total Consumption,Dec,1515258
2024,Philippines,Residential,Jan,3044642
2024,Philippines,Residential,Feb,2888943
2024,Philippines,Residential,Mar,2970387
2024,Philippines,Residential,Apr,3671019
2024,Philippines,Residential,May,4061491
2024,Philippines,Residential,Jun,3927562
2024,Philippines,Residential,Jul,3556292
2024,Philippines,Residential,Aug,3559554
2024,Philippines,Residential,Sep,3466591
2024,Philippines,Residential,Oct,3406726
2024,Philippines,Residential,Nov,3402127
2024,Philippines,Residential,Dec,3250044
2024,Philippines,Commercial,Jan,2144984
2024,Philippines,Commercial,Feb,2180991
2024,Philippines,Commercial,Mar,2120317
2024,Philippines,Commercial,Apr,2346383
2024,Philippines,Commercial,May,2512654
2024,Philippines,Commercial,Jun,2502107
2024,Philippines,Commercial,Jul,2340555
2024,Philippines,Commercial,Aug,2403719
2024,Philippines,Commercial,Sep,2389510
2024,Philippines,Commercial,Oct,2371115
2024,Philippines,Commercial,Nov,2375889
2024,Philippines,Commercial,Dec,2344700
2024,Philippines,Industrial,Jan,2338113
2024,Philippines,Industrial,Feb,2530489
2024,Philippines,Industrial,Mar,2514174
2024,Philippines,Industrial,Apr,2592171
2024,Philippines,Industrial,May,2675795
2024,Philippines,Industrial,Jun,2699895
2024,Philippines,Industrial,Jul,2582867
2024,Philippines,Industrial,Aug,2672530
2024,Philippines,Industrial,Sep,2670039
2024,Philippines,Industrial,Oct,2633012
2024,Philippines,Industrial,Nov,2633286
2024,Philippines,Industrial,Dec,2531523
2024,Philippines,Others,Jan,275325
2024,Philippines,Others,Feb,284063
2024,Philippines,Others,Mar,289903
2024,Philippines,Others,Apr,307068
2024,Philippines,Others,May,316853
2024,Philippines,Others,Jun,302105
2024,Philippines,Others,Jul,293927
2024,Philippines,Others,Aug,319437
2024,Philippines,Others,Sep,305646
2024,Philippines,Others,Oct,300658
2024,Philippines,Others,Nov,308178
2024,Philippines,Others,Dec,292777
2024,Philippines,Total Sales,Jan,7803063
2024,Philippines,Total Sales,Feb,7884485
2024,Philippines,Total Sales,Mar,7894781
2024,Philippines,Total Sales,Apr,8916641
2024,Philippines,Total Sales,May,9566792
2024,Philippines,Total Sales,Jun,9431669
2024,Philippines,Total Sales,Jul,8773641
2024,Philippines,Total Sales,Aug,8955240
2024,Philippines,Total Sales,Sep,8831787
2024,Philippines,Total Sales,Oct,8711511
2024,Philippines,Total Sales,Nov,8719479
2024,Philippines,Total Sales,Dec,8419043
2024,Philippines,Own-Use,Jan,803488
2024,Philippines,Own-Use,Feb,854312
2024,Philippines,Own-Use,Mar,825204
2024,Philippines,Own-Use,Apr,1053251
2024,Philippines,Own-Use,May,920232
2024,Philippines,Own-Use,Jun,940244
2024,Philippines,Own-Use,Jul,856762
2024,Philippines,Own-Use,Aug,828235
2024,Philippines,Own-Use,Sep,856096
2024,Philippines,Own-Use,Oct,850025
2024,Philippines,Own-Use,Nov,883660
2024,Philippines,Own-Use,Dec,886447
2024,Philippines,System Loss,Jan,987515
2024,Philippines,System Loss,Feb,1028267
2024,Philippines,System Loss,Mar,937466
2024,Philippines,System Loss,Apr,980008
2024,Philippines,System Loss,May,1292404
2024,Philippines,System Loss,Jun,1098103
2024,Philippines,System Loss,Jul,1076741
2024,Philippines,System Loss,Aug,1144451
2024,Philippines,System Loss,Sep,979949
2024,Philippines,System Loss,Oct,1017040
2024,Philippines,System Loss,Nov,1131624
2024,Philippines,System Loss,Dec,801167
2024,Philippines,Total Consumption,Jan,9594067
2024,Philippines,Total Consumption,Feb,9767064
2024,Philippines,Total Consumption,Mar,9657451
2024,Philippines,Total Consumption,Apr,10949900
2024,Philippines,Total Consumption,May,11779428
2024,Philippines,Total Consumption,Jun,11470016
2024,Philippines,Total Consumption,Jul,10707144
2024,Philippines,Total Consumption,Aug,10927927
2024,Philippines,Total Consumption,Sep,10667832
2024,Philippines,Total Consumption,Oct,10578576
2024,Philippines,Total Consumption,Nov,10734763
2024,Philippines,Total Consumption,Dec,10106658
